"","dutyName.x.x","dutyTel3","hpid","hv1","hv10","hv11","hv12","hv2","hv3","hv4","hv5","hv6","hv7","hv8","hv9","hvamyn","hvangioayn","hvcc","hvccc","hvctayn","hvec","hvgc","hvicc","hvidate","hvmriayn","hvncc","hvoc","hvventiayn","phpid","rnum","dutyName.y","mkioskty25","mkioskty1","mkioskty2","mkioskty3","mkioskty4","mkioskty5","mkioskty6","mkioskty7","mkioskty8","mkioskty9","mkioskty10","mkioskty11","dutyName.x.y","score"
"1","의료법인강릉동인병원","033-650-6105","A2200005",0,"0","0",0,6,0,0,"Y",0,"Y",0,0,"Y","N",0,0,"Y",17,64,1,20200528193544,"Y",0,5,"Y","A2200005",1,"의료법인강릉동인병원","Y","N","N","Y","Y","Y","Y","N","Y","Y","N","Y","의료법인강릉동인병원",105.958997692948
"2","강릉아산병원","033-610-3333","A2200008",0,"Y","Y",0,0,1,0,"Y",1,"Y",0,0,"Y","N",0,0,"Y",14,62,0,20200528193501,"Y",6,13,"Y","A2200008",3,"강릉아산병원","Y","Y","N","Y","Y","Y","Y","Y","Y","Y","Y","N","강릉아산병원",124.976744292246
"3","강원도삼척의료원","033-570-7431","A2200007",0,"0","Y",0,0,0,0,"Y",0,"0",0,0,"Y","N",0,0,"Y",18,15,1,20200528193502,"Y",0,2,"Y","A2200007",6,"강원도삼척의료원","N","Y","N","N","Y","N","Y","N","N","Y","N","N","강원도삼척의료원",89.9583564892763
"4","강원도속초의료원","033-630-6036","A2200012",0,"0","0",0,0,0,0,"Y",0,"0",0,0,"Y","N",0,0,"Y",19,59,3,20200528193502,"Y",0,3,"Y","A2200012",7,"강원도속초의료원","Y","N","N","N","Y","N","N","N","Y","N","N","N","강원도속초의료원",81.1348022626627
"5","의료법인보광의료재단속초보광병원","033-639-8989","A2200046",0,"0","0",0,0,0,0,"Y",0,"0",0,0,"Y","N",0,0,"Y",8,37,6,20200528193541,"Y",0,4,"Y","A2200046",8,"의료법인보광의료재단속초보광병원","Y","N","N","N","Y","N","N","N","N","N","N","Y","의료법인보광의료재단속초보광병원",82.6656483189491
"6","강원도원주의료원","033-760-4701","A2200015",0,"0","0",0,0,0,0,"Y",0,"0",0,0,"Y","N",0,0,"Y",4,148,3,20200528193503,"Y",0,3,"Y","A2200015",11,"강원도원주의료원","N","N","N","N","Y","N","Y","Y","Y","N","N","N","강원도원주의료원",87.6811161058139
"7","의료법인성지의료재단성지병원","033-760-3119","A2200024",0,"0","0",0,0,0,0,"Y",0,"0",0,0,"Y","N",0,0,"Y",8,90,0,20200528193434,"Y",0,6,"Y","A2200024",12,"의료법인성지의료재단성지병원","Y","N","Y","N","Y","N","Y","N","N","N","N","N","의료법인성지의료재단성지병원",82.3451775223896
"8","연세대학교 원주세브란스기독병원","033-741-0119","A2200001",0,"Y","Y",0,1,2,0,"Y",1,"Y",0,4,"Y","N",0,0,"Y",15,91,0,20200528193000,"Y",17,15,"Y","A2200001",13,"연세대학교","Y","Y","N","Y","Y","Y","Y","Y","Y","Y","Y","Y","연세대학교 원주세브란스기독병원",134.435783162658
"9","강원대학교병원","033-258-2245","A2200009",0,"Y","Y",0,0,0,0,"Y",1,"Y",0,0,"Y","N",0,0,"Y",14,143,0,20200528193608,"Y",10,11,"Y","A2200009",16,"강원대학교병원","Y","Y","N","Y","Y","Y","Y","N","Y","Y","Y","Y","강원대학교병원",128.090289054303
"10","한림대학교춘천성심병원","033-240-5219","A2200013",0,"Y","Y",0,0,0,0,"Y",0,"Y",0,0,"Y","N",0,0,"Y",16,42,0,20200528193531,"Y",0,9,"Y","A2200013",17,"한림대학교춘천성심병원","Y","N","N","Y","Y","Y","Y","N","Y","Y","N","N","한림대학교춘천성심병원",107.17051042381
"11","근로복지공단태백병원","033-580-3119","A2200004",0,"0","0",0,0,0,0,"Y",0,"0",0,0,"Y","N",0,0,"Y",9,73,11,20200528193500,"Y",0,2,"Y","A2200004",18,"근로복지공단태백병원","Y","N","N","N","Y","N","N","N","N","Y","N","N","근로복지공단태백병원",78.2632548339786
"12","홍천아산병원","033-430-5119","A2200014",0,"0","0",0,0,0,0,"Y",0,"0",0,0,"Y","N",0,0,"Y",10,19,1,20200528193501,"Y",0,2,"Y","A2200014",20,"홍천아산병원","Y","N","N","Y","Y","N","Y","N","Y","Y","N","N","홍천아산병원",85.3721808035226
"13","횡성대성병원","033-345-1191","A2200016",0,"0","0",0,0,0,0,"Y",0,"0",0,0,"Y","N",0,0,"Y",10,30,0,20200528193642,"Y",0,0,"Y","A2200016",22,"횡성대성병원","Y","N","N","Y","Y","N","N","N","Y","N","N","N","횡성대성병원",82.8577304203515
"14","의료법인명지의료재단명지병원","031-810-7119","A2100042",0,"Y","Y",0,0,0,0,"Y",0,"Y",0,0,"Y","N",0,0,"Y",10,108,6,20200528193501,"Y",3,8,"Y","A2100042",23,"의료법인명지의료재단명지병원","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","의료법인명지의료재단명지병원",127.422400865926
"15","동국대학교일산불교병원","031-961-7777","A2100047",0,"Y","Y",0,0,5,0,"Y",0,"Y",0,0,"Y","N",0,0,"Y",13,159,0,20200528193129,"Y",13,10,"Y","A2100047",24,"동국대학교일산불교병원","Y","Y","N","Y","Y","Y","Y","N","Y","Y","Y","Y","동국대학교일산불교병원",130.977604019257
"16","국민건강보험공단일산병원","1577-0013","A2100033",0,"Y","Y",0,0,10,0,"Y",0,"Y",0,0,"Y","N",0,0,"Y",1,341,0,20200528193503,"Y",4,2,"Y","A2100033",25,"국민건강보험공단일산병원","N","N","N","N","Y","N","N","N","N","N","N","N","국민건강보험공단일산병원",107.984749193426
"17","인제대학교일산백병원","031-910-7119","A2100038",0,"Y","Y",0,3,4,0,"Y",0,"Y",0,0,"Y","N",0,0,"Y",17,134,0,20200528193318,"Y",-1,13,"Y","A2100038",27,"인제대학교일산백병원","N","Y","N","N","Y","Y","N","Y","Y","N","Y","Y","인제대학교일산백병원",129.810775132602
"18","광명성애병원","02-2680-7115","A2100007",0,"Y","Y",0,0,0,0,"Y",0,"Y",0,0,"Y","N",0,0,"Y",8,62,4,20200528193418,"Y",0,5,"Y","A2100007",28,"광명성애병원","Y","N","N","N","Y","Y","Y","Y","Y","Y","N","N","광명성애병원",105.052987170234
"19","참조은병원","031-881-9119","A2100155",0,"0","0",0,0,0,0,"Y",0,"Y",0,0,"Y","N",0,0,"Y",17,46,4,20200528193603,"Y",0,5,"Y","A2100155",29,"참조은병원","N","N","N","N","Y","N","N","N","N","N","N","N","참조은병원",82.7916942015705
"20","한양대학교구리병원",NA,"A2100039",0,"Y","Y",0,3,4,0,"Y",0,"Y",0,0,"Y","N",0,0,"Y",8,111,0,20200528193501,"Y",7,9,"Y","A2100039",30,"한양대학교구리병원","N","N","N","N","Y","N","N","Y","Y","Y","Y","Y","한양대학교구리병원",117.956501864507
"21","효산의료재단지샘병원","031-389-3119","A2100054",0,"0","0",0,0,0,0,"Y",0,"Y",0,0,"Y","N",0,0,"Y",10,81,2,20200528193306,"Y",0,5,"Y","A2100054",31,"효산의료재단지샘병원","Y","N","N","Y","Y","Y","Y","N","Y","Y","N","N","효산의료재단지샘병원",96.1849929663082
"22","원광대학교산본병원","031-390-2345","A2100048",0,"0","0",0,0,0,0,"Y",0,"Y",0,0,"Y","N",0,0,"Y",18,95,6,20200528193612,"Y",0,5,"Y","A2100048",32,"원광대학교산본병원","Y","N","N","Y","Y","Y","Y","N","Y","Y","N","N","원광대학교산본병원",96.6176873744798
"23","의료법인우리의료재단김포우리병원","031-999-1119","A2100053",0,"0","0",0,0,0,0,"Y",0,"Y",0,0,"Y","N",0,0,"Y",12,65,7,20200528193617,"Y",0,6,"Y","A2100053",33,"의료법인우리의료재단김포우리병원","Y","N","N","Y","Y","Y","Y","Y","Y","Y","N","N","의료법인우리의료재단김포우리병원",98.3400924251479
"24","의료법인인봉의료재단뉴고려병원","031-980-9119","A2100006",0,"0","0",0,0,0,0,"Y",0,"Y",0,0,"Y","N",0,0,"Y",16,70,0,20200528193452,"Y",0,5,"Y","A2100006",34,"의료법인인봉의료재단뉴고려병원","Y","N","Y","Y","Y","Y","Y","Y","Y","N","N","N","의료법인인봉의료재단뉴고려병원",98.4000700695374
"25","남양주한양병원","031-510-0119","A2100041",0,"0","0",0,0,0,0,"Y",0,"Y",0,0,"Y","N",0,0,"Y",17,99,11,20200528193323,"Y",0,5,"Y","A2100041",35,"남양주한양병원","Y","N","N","Y","Y","Y","Y","Y","Y","Y","N","N","남양주한양병원",98.9413071858838
"26","현대병원","031-574-0114","A2100037",0,"0","0",0,0,0,0,"Y",0,"Y",0,0,"Y","N",0,0,"Y",7,30,1,20200528193419,"Y",0,7,"Y","A2100037",37,"현대병원","Y","N","Y","Y","Y","N","Y","N","Y","Y","N","N","현대병원",91.6358984257045
"27","가톨릭대학교부천성모병원","032-340-2100","A2100052",0,"Y","Y",0,3,2,0,"Y",1,"Y",0,0,"Y","N",0,0,"Y",9,112,0,20200528193610,"Y",6,9,"Y","A2100052",38,"가톨릭대학교부천성모병원","N","N","N","N","Y","N","N","N","N","N","N","N","가톨릭대학교부천성모병원",101.904513360476
"28","순천향대학교부속부천병원","032-621-5117","A2100005",0,"Y","Y",0,3,1,0,"Y",0,"Y",0,0,"Y","N",0,0,"Y",8,107,0,20200528193522,"Y",10,17,"Y","A2100005",39,"순천향대학교부속부천병원","N","N","N","N","Y","N","N","N","N","N","N","N","순천향대학교부속부천병원",102.307349157446
"29","의료법인대인의료재단다니엘종합병원","032-670-0119","A2100050",0,"0","0",0,2,2,0,"Y",0,"0",0,0,"Y","N",0,0,"Y",11,55,0,20200528193503,"Y",0,5,"Y","A2100050",40,"의료법인대인의료재단다니엘종합병원","Y","N","N","N","Y","N","Y","N","Y","Y","N","N","의료법인대인의료재단다니엘종합병원",87.1818593314322
"30","의료법인혜원의료재단세종병원","032-340-1119","A2100055",0,"Y","Y",0,0,0,0,"Y",0,"Y",0,0,"Y","N",0,0,"Y",19,93,5,20200528193608,"Y",0,6,"Y","A2100055",41,"의료법인혜원의료재단세종병원","Y","Y","N","Y","Y","Y","N","N","Y","Y","N","N","의료법인혜원의료재단세종병원",111.232171416588
"31","분당서울대학교병원","031-787-3119","A2100001",0,"0","Y",0,1,4,0,"Y",0,"Y",0,0,"Y","N",0,0,"Y",-25,108,0,20200528193300,"Y",0,37,"Y","A2100001",42,"분당서울대학교병원","N","Y","N","Y","Y","Y","Y","N","Y","Y","Y","Y","분당서울대학교병원",132.519429456114
"32","대진의료재단분당제생병원","031-779-0119","A2100025",0,"Y","Y",0,2,10,0,"Y",0,"Y",0,0,"Y","N",0,0,"Y",15,259,0,20200528193426,"Y",3,9,"Y","A2100025",44,"대진의료재단분당제생병원","Y","N","N","Y","Y","Y","Y","N","Y","N","N","N","대진의료재단분당제생병원",122.607744153629
"33","차의과학대학교분당차병원","031-780-5840","A2100030",0,"Y","Y",0,0,1,0,"Y",1,"Y",0,0,"Y","N",0,0,"Y",3,94,0,20200528192112,"Y",6,20,"Y","A2100030",45,"차의과학대학교분당차병원","Y","Y","N","Y","Y","Y","Y","N","Y","Y","Y","Y","차의과학대학교분당차병원",130.411626147535
"34","순천의료재단정병원","031-750-6003","A2100016",0,"0","0",0,0,0,0,"Y",0,"0",0,0,"Y","N",0,0,"Y",12,84,2,20200528192620,"Y",0,5,"Y","A2100016",46,"순천의료재단정병원","Y","N","Y","N","Y","N","Y","Y","Y","Y","N","N","순천의료재단정병원",86.9586561968618
