"","dutyName.x.x","dutyTel3","hpid","hv1","hv10","hv11","hv12","hv2","hv3","hv4","hv5","hv6","hv7","hv8","hv9","hvamyn","hvangioayn","hvcc","hvccc","hvctayn","hvec","hvgc","hvicc","hvidate","hvmriayn","hvncc","hvoc","hvventiayn","phpid","rnum","dutyName.y","mkioskty25","mkioskty1","mkioskty2","mkioskty3","mkioskty4","mkioskty5","mkioskty6","mkioskty7","mkioskty8","mkioskty9","mkioskty10","mkioskty11","dutyName.x.y","score"
"1","의료법인강릉동인병원","033-650-6105","A2200005",0,"0","0",0,6,0,0,"Y",0,"Y",0,0,"Y","N",0,0,"Y",17,64,1,20200528193544,"Y",0,5,"Y","A2200005",1,"의료법인강릉동인병원","Y","N","N","Y","Y","Y","Y","N","Y","Y","N","Y","의료법인강릉동인병원",115.26883189328
"2","강릉아산병원","033-610-3333","A2200008",0,"Y","Y",0,0,1,0,"Y",1,"Y",0,0,"Y","N",0,0,"Y",14,62,0,20200528193501,"Y",6,13,"Y","A2200008",3,"강릉아산병원","Y","Y","N","Y","Y","Y","Y","Y","Y","Y","Y","N","강릉아산병원",163.998297950519
"3","강원도삼척의료원","033-570-7431","A2200007",0,"0","Y",0,0,0,0,"Y",0,"0",0,0,"Y","N",0,0,"Y",18,15,1,20200528193502,"Y",0,2,"Y","A2200007",6,"강원도삼척의료원","N","Y","N","N","Y","N","Y","N","N","Y","N","N","강원도삼척의료원",74.270141624835
"4","강원도속초의료원","033-630-6036","A2200012",0,"0","0",0,0,0,0,"Y",0,"0",0,0,"Y","N",0,0,"Y",19,59,3,20200528193502,"Y",0,3,"Y","A2200012",7,"강원도속초의료원","Y","N","N","N","Y","N","N","N","Y","N","N","N","강원도속초의료원",51.661412249618
"5","의료법인보광의료재단속초보광병원","033-639-8989","A2200046",0,"0","0",0,0,0,0,"Y",0,"0",0,0,"Y","N",0,0,"Y",8,37,6,20200528193541,"Y",0,4,"Y","A2200046",8,"의료법인보광의료재단속초보광병원","Y","N","N","N","Y","N","N","N","N","N","N","Y","의료법인보광의료재단속초보광병원",55.5839227610063
"6","강원도원주의료원","033-760-4701","A2200015",0,"0","0",0,0,0,0,"Y",0,"0",0,0,"Y","N",0,0,"Y",4,148,3,20200528193503,"Y",0,3,"Y","A2200015",11,"강원도원주의료원","N","N","N","N","Y","N","Y","Y","Y","N","N","N","강원도원주의료원",68.4351333923559
"7","의료법인성지의료재단성지병원","033-760-3119","A2200024",0,"0","0",0,0,0,0,"Y",0,"0",0,0,"Y","N",0,0,"Y",8,90,0,20200528193434,"Y",0,6,"Y","A2200024",12,"의료법인성지의료재단성지병원","Y","N","Y","N","Y","N","Y","N","N","N","N","N","의료법인성지의료재단성지병원",54.7627754856578
"8","연세대학교 원주세브란스기독병원","033-741-0119","A2200001",0,"Y","Y",0,1,2,0,"Y",1,"Y",0,4,"Y","N",0,0,"Y",15,91,0,20200528193000,"Y",17,15,"Y","A2200001",13,"연세대학교","Y","Y","N","Y","Y","Y","Y","Y","Y","Y","Y","Y","연세대학교 원주세브란스기독병원",188.235339450844
"9","강원대학교병원","033-258-2245","A2200009",0,"Y","Y",0,0,0,0,"Y",1,"Y",0,0,"Y","N",0,0,"Y",14,143,0,20200528193608,"Y",10,11,"Y","A2200009",16,"강원대학교병원","Y","Y","N","Y","Y","Y","Y","N","Y","Y","Y","Y","강원대학교병원",171.976181818526
"10","한림대학교춘천성심병원","033-240-5219","A2200013",0,"Y","Y",0,0,0,0,"Y",0,"Y",0,0,"Y","N",0,0,"Y",16,42,0,20200528193531,"Y",0,9,"Y","A2200013",17,"한림대학교춘천성심병원","Y","N","N","Y","Y","Y","Y","N","Y","Y","N","N","한림대학교춘천성심병원",118.373109689191
"11","근로복지공단태백병원","033-580-3119","A2200004",0,"0","0",0,0,0,0,"Y",0,"0",0,0,"Y","N",0,0,"Y",9,73,11,20200528193500,"Y",0,2,"Y","A2200004",18,"근로복지공단태백병원","Y","N","N","N","Y","N","N","N","N","Y","N","N","근로복지공단태백병원",44.303601889321
"12","홍천아산병원","033-430-5119","A2200014",0,"0","0",0,0,0,0,"Y",0,"0",0,0,"Y","N",0,0,"Y",10,19,1,20200528193501,"Y",0,2,"Y","A2200014",20,"홍천아산병원","Y","N","N","Y","Y","N","Y","N","Y","Y","N","N","홍천아산병원",62.5189127794719
"13","횡성대성병원","033-345-1191","A2200016",0,"0","0",0,0,0,0,"Y",0,"0",0,0,"Y","N",0,0,"Y",10,30,0,20200528193642,"Y",0,0,"Y","A2200016",22,"횡성대성병원","Y","N","N","Y","Y","N","N","N","Y","N","N","N","횡성대성병원",56.076097698327
"14","의료법인명지의료재단명지병원","031-810-7119","A2100042",0,"Y","Y",0,0,0,0,"Y",0,"Y",0,0,"Y","N",0,0,"Y",10,108,6,20200528193501,"Y",3,8,"Y","A2100042",23,"의료법인명지의료재단명지병원","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","의료법인명지의료재단명지병원",170.264841590301
