criterion,dutyName.x.x,dutyTel3,hpid,hv1,hv10,hv11,hv12,hv2,hv3,hv4,hv5,hv6,hv7,hv8,hv9,hvamyn,hvangioayn,hvcc,hvccc,hvctayn,hvec,hvgc,hvicc,hvidate,hvmriayn,hvncc,hvoc,hvventiayn,phpid,rnum,dutyName.y,mkioskty25,mkioskty1,mkioskty2,mkioskty3,mkioskty4,mkioskty5,mkioskty6,mkioskty7,mkioskty8,mkioskty9,mkioskty10,mkioskty11,dutyName.x.y,score
2,의료법인강릉동인병원,033-650-6105,A2200005,0,0,0,0,6,0,0,Y,0,Y,0,0,Y,N,0,0,Y,17,64,1,2.02E+13,Y,0,5,Y,A2200005,1,의료법인강릉동인병원,Y,N,N,Y,Y,Y,Y,N,Y,Y,N,Y,의료법인강릉동인병원,115.2688319
3,강릉아산병원,033-610-3333,A2200008,0,Y,Y,0,0,1,0,Y,1,Y,0,0,Y,N,0,0,Y,14,62,0,2.02E+13,Y,6,13,Y,A2200008,3,강릉아산병원,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,강릉아산병원,163.998298
2,강원도삼척의료원,033-570-7431,A2200007,0,0,Y,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,18,15,1,2.02E+13,Y,0,2,Y,A2200007,6,강원도삼척의료원,N,Y,N,N,Y,N,Y,N,N,Y,N,N,강원도삼척의료원,74.27014162
1,강원도속초의료원,033-630-6036,A2200012,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,19,59,3,2.02E+13,Y,0,3,Y,A2200012,7,강원도속초의료원,Y,N,N,N,Y,N,N,N,Y,N,N,N,강원도속초의료원,51.66141225
1,의료법인보광의료재단속초보광병원,033-639-8989,A2200046,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,8,37,6,2.02E+13,Y,0,4,Y,A2200046,8,의료법인보광의료재단속초보광병원,Y,N,N,N,Y,N,N,N,N,N,N,Y,의료법인보광의료재단속초보광병원,55.58392276
2,강원도원주의료원,033-760-4701,A2200015,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,4,148,3,2.02E+13,Y,0,3,Y,A2200015,11,강원도원주의료원,N,N,N,N,Y,N,Y,Y,Y,N,N,N,강원도원주의료원,68.43513339
1,의료법인성지의료재단성지병원,033-760-3119,A2200024,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,8,90,0,2.02E+13,Y,0,6,Y,A2200024,12,의료법인성지의료재단성지병원,Y,N,Y,N,Y,N,Y,N,N,N,N,N,의료법인성지의료재단성지병원,54.76277549
1,연세대학교 원주세브란스기독병원,033-741-0119,A2200001,0,Y,Y,0,1,2,0,Y,1,Y,0,4,Y,N,0,0,Y,15,91,0,2.02E+13,Y,17,15,Y,A2200001,13,연세대학교,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,연세대학교 원주세브란스기독병원,188.2353395
3,강원대학교병원,033-258-2245,A2200009,0,Y,Y,0,0,0,0,Y,1,Y,0,0,Y,N,0,0,Y,14,143,0,2.02E+13,Y,10,11,Y,A2200009,16,강원대학교병원,Y,Y,N,Y,Y,Y,Y,N,Y,Y,Y,Y,강원대학교병원,171.9761818
2,한림대학교춘천성심병원,033-240-5219,A2200013,0,Y,Y,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,16,42,0,2.02E+13,Y,0,9,Y,A2200013,17,한림대학교춘천성심병원,Y,N,N,Y,Y,Y,Y,N,Y,Y,N,N,한림대학교춘천성심병원,118.3731097
2,근로복지공단태백병원,033-580-3119,A2200004,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,9,73,11,2.02E+13,Y,0,2,Y,A2200004,18,근로복지공단태백병원,Y,N,N,N,Y,N,N,N,N,Y,N,N,근로복지공단태백병원,44.30360189
1,홍천아산병원,033-430-5119,A2200014,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,10,19,1,2.02E+13,Y,0,2,Y,A2200014,20,홍천아산병원,Y,N,N,Y,Y,N,Y,N,Y,Y,N,N,홍천아산병원,62.51891278
1,횡성대성병원,033-345-1191,A2200016,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,10,30,0,2.02E+13,Y,0,0,Y,A2200016,22,횡성대성병원,Y,N,N,Y,Y,N,N,N,Y,N,N,N,횡성대성병원,56.0760977
3,의료법인명지의료재단명지병원,031-810-7119,A2100042,0,Y,Y,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,10,108,6,2.02E+13,Y,3,8,Y,A2100042,23,의료법인명지의료재단명지병원,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,의료법인명지의료재단명지병원,170.2648416
2,동국대학교일산불교병원,031-961-7777,A2100047,0,Y,Y,0,0,5,0,Y,0,Y,0,0,Y,N,0,0,Y,13,159,0,2.02E+13,Y,13,10,Y,A2100047,24,동국대학교일산불교병원,Y,Y,N,Y,Y,Y,Y,N,Y,Y,Y,Y,동국대학교일산불교병원,179.3743936
2,국민건강보험공단일산병원,1577-0013,A2100033,0,Y,Y,0,0,10,0,Y,0,Y,0,0,Y,N,0,0,Y,1,341,0,2.02E+13,Y,4,2,Y,A2100033,25,국민건강보험공단일산병원,N,N,N,N,Y,N,N,N,N,N,N,N,국민건강보험공단일산병원,120.4594463
2,인제대학교일산백병원,031-910-7119,A2100038,0,Y,Y,0,3,4,0,Y,0,Y,0,0,Y,N,0,0,Y,17,134,0,2.02E+13,Y,-1,13,Y,A2100038,27,인제대학교일산백병원,N,Y,N,N,Y,Y,N,Y,Y,N,Y,Y,인제대학교일산백병원,176.3846099
2,광명성애병원,02-2680-7115,A2100007,0,Y,Y,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,8,62,4,2.02E+13,Y,0,5,Y,A2100007,28,광명성애병원,Y,N,N,N,Y,Y,Y,Y,Y,Y,N,N,광명성애병원,112.9473471
2,참조은병원,031-881-9119,A2100155,0,0,0,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,17,46,4,2.02E+13,Y,0,5,Y,A2100155,29,참조은병원,N,N,N,N,Y,N,N,N,N,N,N,N,참조은병원,55.90689207
3,한양대학교구리병원,NA,A2100039,0,Y,Y,0,3,4,0,Y,0,Y,0,0,Y,N,0,0,Y,8,111,0,2.02E+13,Y,7,9,Y,A2100039,30,한양대학교구리병원,N,N,N,N,Y,N,N,Y,Y,Y,Y,Y,한양대학교구리병원,146.0102223
2,효산의료재단지샘병원,031-389-3119,A2100054,0,0,0,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,10,81,2,2.02E+13,Y,0,5,Y,A2100054,31,효산의료재단지샘병원,Y,N,N,Y,Y,Y,Y,N,Y,Y,N,N,효산의료재단지샘병원,90.22474851
3,원광대학교산본병원,031-390-2345,A2100048,0,0,0,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,18,95,6,2.02E+13,Y,0,5,Y,A2100048,32,원광대학교산본병원,Y,N,N,Y,Y,Y,Y,N,Y,Y,N,N,원광대학교산본병원,91.33344808
3,의료법인우리의료재단김포우리병원,031-999-1119,A2100053,0,0,0,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,12,65,7,2.02E+13,Y,0,6,Y,A2100053,33,의료법인우리의료재단김포우리병원,Y,N,N,Y,Y,Y,Y,Y,Y,Y,N,N,의료법인우리의료재단김포우리병원,95.74679316
3,의료법인인봉의료재단뉴고려병원,031-980-9119,A2100006,0,0,0,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,16,70,0,2.02E+13,Y,0,5,Y,A2100006,34,의료법인인봉의료재단뉴고려병원,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,N,의료법인인봉의료재단뉴고려병원,95.90047481
2,남양주한양병원,031-510-0119,A2100041,0,0,0,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,17,99,11,2.02E+13,Y,0,5,Y,A2100041,35,남양주한양병원,Y,N,N,Y,Y,Y,Y,Y,Y,Y,N,N,남양주한양병원,97.28729504
1,현대병원,031-574-0114,A2100037,0,0,0,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,7,30,1,2.02E+13,Y,0,7,Y,A2100037,37,현대병원,Y,N,Y,Y,Y,N,Y,N,Y,Y,N,N,현대병원,78.56853326
1,가톨릭대학교부천성모병원,032-340-2100,A2100052,0,Y,Y,0,3,2,0,Y,1,Y,0,0,Y,N,0,0,Y,9,112,0,2.02E+13,Y,6,9,Y,A2100052,38,가톨릭대학교부천성모병원,N,N,N,N,Y,N,N,N,N,N,N,N,가톨릭대학교부천성모병원,104.879964
3,순천향대학교부속부천병원,032-621-5117,A2100005,0,Y,Y,0,3,1,0,Y,0,Y,0,0,Y,N,0,0,Y,8,107,0,2.02E+13,Y,10,17,Y,A2100005,39,순천향대학교부속부천병원,N,N,N,N,Y,N,N,N,N,N,N,N,순천향대학교부속부천병원,105.9121564
3,의료법인대인의료재단다니엘종합병원,032-670-0119,A2100050,0,0,0,0,2,2,0,Y,0,0,0,0,Y,N,0,0,Y,11,55,0,2.02E+13,Y,0,5,Y,A2100050,40,의료법인대인의료재단다니엘종합병원,Y,N,N,N,Y,N,Y,N,Y,Y,N,N,의료법인대인의료재단다니엘종합병원,67.15588004
3,의료법인혜원의료재단세종병원,032-340-1119,A2100055,0,Y,Y,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,19,93,5,2.02E+13,Y,0,6,Y,A2100055,41,의료법인혜원의료재단세종병원,Y,Y,N,Y,Y,Y,N,N,Y,Y,N,N,의료법인혜원의료재단세종병원,128.7803664
2,분당서울대학교병원,031-787-3119,A2100001,0,0,Y,0,1,4,0,Y,0,Y,0,0,Y,N,0,0,Y,-25,108,0,2.02E+13,Y,0,37,Y,A2100001,42,분당서울대학교병원,N,Y,N,Y,Y,Y,Y,N,Y,Y,Y,Y,분당서울대학교병원,183.3250367
3,대진의료재단분당제생병원,031-779-0119,A2100025,0,Y,Y,0,2,10,0,Y,0,Y,0,0,Y,N,0,0,Y,15,259,0,2.02E+13,Y,3,9,Y,A2100025,44,대진의료재단분당제생병원,Y,N,N,Y,Y,Y,Y,N,Y,N,N,N,대진의료재단분당제생병원,157.9281723
