dutyName,dutyTel3,hpid,hv1,hv10,hv11,hv12,hv2,hv3,hv4,hv5,hv6,hv7,hv8,hv9,hvamyn,hvangioayn,hvcc,hvccc,hvctayn,hvec,hvgc,hvicc,hvidate,hvmriayn,hvncc,hvoc,hvventiayn,phpid,rnum
연세대학교의과대학강남세브란스병원,02-2019-3333,A1100015,0,Y,Y,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,-6,47,4,2.02E+13,Y,3,22,Y,A1100015,1
삼성서울병원,02-3410-2060,A1100010,0,Y,Y,0,6,5,0,Y,4,Y,0,0,Y,N,0,7,Y,18,516,4,2.02E+13,Y,9,53,Y,A1100010,2
강동경희대학교의대병원,02-440-8282,A1100043,0,Y,Y,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,9,123,1,2.02E+13,Y,1,10,Y,A1100043,1
성심의료재단강동성심병원,02-2224-2358,A1100028,0,Y,Y,0,2,1,0,Y,0,Y,0,0,Y,N,0,0,Y,10,123,0,2.02E+13,Y,3,12,Y,A1100028,2
한국보훈복지의료공단중앙보훈병원,02-2225-1100,A1100053,0,0,0,0,6,0,0,Y,2,Y,0,0,Y,N,0,11,Y,15,130,4,2.02E+13,Y,0,14,Y,A1100053,3
이화여자대학교의과대학부속서울병원,02-6986-5119,A1120796,0,0,Y,0,3,3,0,Y,6,Y,0,0,Y,N,0,0,Y,9,177,0,2.02E+13,Y,0,10,Y,A1120796,1
부민병원,02-2620-0119,A1100036,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,7,16,8,2.02E+13,Y,0,5,Y,A1100036,2
에이치플러스양지병원,070-4665-9119,A1100041,0,0,0,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,18,71,6,2.02E+13,Y,0,6,Y,A1100041,1
구로성심병원,02-2067-1515,A1100026,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,7,52,0,2.02E+13,N,0,3,Y,A1100026,1
고려대학교의과대학부속구로병원,02-2626-1557,A1100014,0,Y,Y,0,4,1,0,Y,0,Y,0,0,Y,N,0,0,Y,3,98,1,2.02E+13,Y,3,19,Y,A1100014,2
의료법인한전의료재단한일병원,02-901-3000,A1100020,0,Y,Y,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,11,63,4,2.02E+13,Y,3,8,Y,A1100020,1
경희대학교병원,02-958-8282,A1100001,0,Y,Y,0,0,0,0,Y,2,Y,0,0,Y,N,0,0,Y,7,63,3,2.02E+13,Y,9,16,Y,A1100001,1
삼육서울병원,02-2210-3566,A1100021,0,0,N,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,15,62,-1,2.02E+13,Y,4,5,Y,A1100021,2
서울특별시동부병원,02-920-9119,A1100022,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,7,39,4,2.02E+13,Y,0,3,Y,A1100022,3
서울성심병원,02-966-1616,A1100050,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,6,88,2,2.02E+13,Y,0,6,Y,A1100050,4
서울특별시보라매병원,02-870-2119,A1100040,0,Y,Y,0,2,5,0,Y,0,Y,0,0,Y,N,0,0,Y,19,135,0,2.02E+13,Y,6,14,Y,A1100040,1
중앙대학교병원,02-6299-1339,A1100003,0,Y,Y,0,15,7,0,Y,0,Y,0,0,Y,N,0,0,Y,7,125,0,2.02E+13,Y,1,14,Y,A1100003,2
학교법인연세대학교의과대학세브란스병원,02-2227-7777,A1100007,0,Y,Y,0,1,9,0,Y,2,Y,0,0,Y,N,2,0,Y,-11,98,0,2.02E+13,Y,-1,1,Y,A1100007,1
의료법인동신의료재단동신병원,02-396-9161,A1100025,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,8,49,6,2.02E+13,Y,0,4,Y,A1100025,2
한양대학교병원,02-2290-8284,A1100013,0,Y,Y,0,2,6,0,Y,0,Y,0,0,Y,N,0,0,Y,17,113,0,2.02E+13,Y,5,14,Y,A1100013,1
(학)고려대학교의과대학부속병원(안암병원),02-920-5374,A1100008,0,Y,Y,0,1,3,0,Y,0,Y,0,0,Y,N,0,0,Y,18,47,0,2.02E+13,Y,-3,21,Y,A1100008,1
가톨릭대학교여의도성모병원,02-3779-1188,A1100011,0,Y,Y,0,2,2,0,Y,1,Y,0,0,Y,N,0,0,Y,11,20,0,2.02E+13,Y,-3,10,Y,A1100011,1
명지성모병원,02-829-7800,A1100024,0,0,0,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,7,47,0,2.02E+13,Y,0,3,Y,A1100024,2
대림성모병원,02-829-9129,A1100037,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,9,90,0,2.02E+13,Y,0,4,Y,A1100037,3
한림대학교강남성심병원,02-829-5119,A1100055,0,Y,Y,0,0,1,0,Y,0,Y,0,0,Y,N,0,0,Y,15,153,0,2.02E+13,Y,3,14,Y,A1100055,4
성애의료재단성애병원,02-840-7115,A1100054,0,Y,Y,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,17,82,4,2.02E+13,Y,5,5,Y,A1100054,5
순천향대학교 부속 서울병원,02-709-9117-9,A1100004,0,Y,Y,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,23,141,0,2.02E+13,Y,5,12,Y,A1100004,1
가톨릭대학교 은평성모병원,18117755,A1121013,0,Y,Y,0,6,5,0,Y,5,Y,0,0,Y,N,0,0,Y,14,169,1,2.02E+13,Y,10,19,Y,A1121013,1
의료법인청구성심병원,02-383-0129,A1100023,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,7,35,5,2.02E+13,Y,0,3,Y,A1100023,2
서울대학교병원,02-2072-2475,A1100017,0,Y,Y,0,0,4,0,Y,0,Y,0,0,Y,N,1,0,Y,-2,90,0,2.02E+13,Y,5,52,Y,A1100017,1
강북삼성병원,02-2001-1000,A1100006,0,Y,Y,0,1,-2,0,Y,0,Y,0,0,Y,N,0,0,Y,0,45,0,2.02E+13,Y,0,10,Y,A1100006,2
서울적십자병원,NA,A1100029,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,9,215,10,2.02E+13,Y,0,6,Y,A1100029,3
