행정구역,2020년04월_총인구수,Column1
서울특별시  (1100000000),9726787,
서울특별시 종로구 (1111000000),150936,
서울특별시 종로구 청운효자동(1111051500),12711,
서울특별시 종로구 사직동(1111053000),9509,
서울특별시 종로구 삼청동(1111054000),2734,
서울특별시 종로구 부암동(1111055000),10144,
서울특별시 종로구 평창동(1111056000),18573,
서울특별시 종로구 무악동(1111057000),8690,
서울특별시 종로구 교남동(1111058000),10563,
서울특별시 종로구 가회동(1111060000),4351,
서울특별시 종로구 종로1.2.3.4가동(1111061500),7242,
서울특별시 종로구 종로5.6가동(1111063000),5368,
서울특별시 종로구 이화동(1111064000),7786,
서울특별시 종로구 혜화동(1111065000),16916,
서울특별시 종로구 창신제1동(1111067000),5185,
서울특별시 종로구 창신제2동(1111068000),8452,
서울특별시 종로구 창신제3동(1111069000),7049,
서울특별시 종로구 숭인제1동(1111070000),6148,
서울특별시 종로구 숭인제2동(1111071000),9515,
서울특별시 중구 (1114000000),126126,
서울특별시 중구 소공동(1114052000),2117,
서울특별시 중구 회현동(1114054000),5219,
서울특별시 중구 명동(1114055000),2975,
서울특별시 중구 필동(1114057000),3948,
서울특별시 중구 장충동(1114058000),4696,
서울특별시 중구 광희동(1114059000),4971,
서울특별시 중구 을지로동(1114060500),1825,
서울특별시 중구 신당동(1114061500),7538,
서울특별시 중구 다산동(1114062500),14494,
서울특별시 중구 약수동(1114063500),17454,
서울특별시 중구 청구동(1114064500),14146,
서울특별시 중구 신당제5동(1114065000),10625,
서울특별시 중구 동화동(1114066500),10798,
서울특별시 중구 황학동(1114067000),12725,
서울특별시 중구 중림동(1114068000),12595,
서울특별시 용산구 (1117000000),229369,
서울특별시 용산구 후암동(1117051000),17831,
서울특별시 용산구 용산2가동(1117052000),10311,
서울특별시 용산구 남영동(1117053000),7770,
서울특별시 용산구 청파동(1117055500),19881,
서울특별시 용산구 원효로제1동(1117056000),16071,
서울특별시 용산구 원효로제2동(1117057000),14365,
서울특별시 용산구 효창동(1117058000),10270,
서울특별시 용산구 용문동(1117059000),12404,
서울특별시 용산구 한강로동(1117062500),18243,
서울특별시 용산구 이촌제1동(1117063000),28539,
서울특별시 용산구 이촌제2동(1117064000),8814,
서울특별시 용산구 이태원제1동(1117065000),6849,
서울특별시 용산구 이태원제2동(1117066000),9254,
서울특별시 용산구 한남동(1117068500),21120,
서울특별시 용산구 서빙고동(1117069000),13348,
서울특별시 용산구 보광동(1117070000),14299,
서울특별시 성동구 (1120000000),298249,
서울특별시 성동구 왕십리제2동(1120052000),17326,
서울특별시 성동구 왕십리도선동(1120053500),27239,
서울특별시 성동구 마장동(1120054000),23204,
서울특별시 성동구 사근동(1120055000),11758,
서울특별시 성동구 행당제1동(1120056000),14988,
서울특별시 성동구 행당제2동(1120057000),24407,
서울특별시 성동구 응봉동(1120058000),15966,
서울특별시 성동구 금호1가동(1120059000),15791,
서울특별시 성동구 금호2.3가동(1120061500),23759,
서울특별시 성동구 금호4가동(1120062000),14906,
서울특별시 성동구 옥수동(1120064500),26885,
서울특별시 성동구 성수1가제1동(1120065000),16706,
서울특별시 성동구 성수1가제2동(1120066000),13950,
서울특별시 성동구 성수2가제1동(1120067000),16995,
서울특별시 성동구 성수2가제3동(1120069000),11313,
서울특별시 성동구 송정동(1120072000),10953,
서울특별시 성동구 용답동(1120079000),12103,
서울특별시 광진구 (1121500000),350016,
서울특별시 광진구 화양동(1121571000),22252,
서울특별시 광진구 군자동(1121573000),19894,
서울특별시 광진구 중곡제1동(1121574000),15791,
서울특별시 광진구 중곡제2동(1121575000),22198,
서울특별시 광진구 중곡제3동(1121576000),16953,
서울특별시 광진구 중곡제4동(1121577000),29993,
서울특별시 광진구 능동(1121578000),11642,
서울특별시 광진구 광장동(1121581000),35814,
서울특별시 광진구 자양제1동(1121582000),22853,
서울특별시 광진구 자양제2동(1121583000),26235,
서울특별시 광진구 자양제3동(1121584000),28980,
서울특별시 광진구 자양제4동(1121584700),18269,
