dutyName,dutyTel3,hpid,hv1,hv10,hv11,hv12,hv2,hv3,hv4,hv5,hv6,hv7,hv8,hv9,hvamyn,hvangioayn,hvcc,hvccc,hvctayn,hvec,hvgc,hvicc,hvidate,hvmriayn,hvncc,hvoc,hvventiayn,phpid,rnum
의료법인강릉동인병원,033-650-6105,A2200005,0,0,0,0,6,0,0,Y,0,Y,0,0,Y,N,0,0,Y,17,64,1,20200528193544,Y,0,5,Y,A2200005,1
강원도강릉의료원,033-610-1453,A2200011,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,4,48,0,20200528193502,Y,0,2,Y,A2200011,2
강릉아산병원,033-610-3333,A2200008,0,Y,Y,0,0,1,0,Y,1,Y,0,0,Y,N,0,0,Y,14,62,0,20200528193501,Y,6,13,Y,A2200008,3
근로복지공단동해병원,033-530-3119,A2200038,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,9,65,6,20200528193400,Y,0,2,Y,A2200038,4
의료법인동해동인병원,033-530-0129,A2200003,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,8,35,6,20200528193526,Y,0,0,Y,A2200003,5
강원도삼척의료원,033-570-7431,A2200007,0,0,Y,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,18,15,1,20200528193502,Y,0,2,Y,A2200007,6
강원도속초의료원,033-630-6036,A2200012,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,19,59,3,20200528193502,Y,0,3,Y,A2200012,7
의료법인보광의료재단속초보광병원,033-639-8989,A2200046,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,8,37,6,20200528193541,Y,0,4,Y,A2200046,8
의료법인 성심의료재단 양구성심병원,033-480-8816,A2200037,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,5,31,0,20200528193339,N1,0,0,Y,A2200037,9
강원도영월의료원,033-370-9129,A2200002,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,10,51,2,20200528193002,Y,0,1,Y,A2200002,10
강원도원주의료원,033-760-4701,A2200015,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,4,148,3,20200528193503,Y,0,3,Y,A2200015,11
의료법인성지의료재단성지병원,033-760-3119,A2200024,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,8,90,0,20200528193434,Y,0,6,Y,A2200024,12
연세대학교 원주세브란스기독병원,033-741-0119,A2200001,0,Y,Y,0,1,2,0,Y,1,Y,0,4,Y,N,0,0,Y,15,91,0,20200528193000,Y,17,15,Y,A2200001,13
근로복지공단정선병원,033-560-7150,A2200048,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,5,39,0,20200528193500,N1,0,0,Y,A2200048,14
철원병원,033-450-3300,A2201730,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,8,40,0,20200528193001,Y,0,2,Y,A2201730,15
강원대학교병원,033-258-2245,A2200009,0,Y,Y,0,0,0,0,Y,1,Y,0,0,Y,N,0,0,Y,14,143,0,20200528193608,Y,10,11,Y,A2200009,16
한림대학교춘천성심병원,033-240-5219,A2200013,0,Y,Y,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,16,42,0,20200528193531,Y,0,9,Y,A2200013,17
근로복지공단태백병원,033-580-3119,A2200004,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,9,73,11,20200528193500,Y,0,2,Y,A2200004,18
평창군보건의료원,033-330-4812,E2200026,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,7,0,0,20200528193535,N1,0,0,Y,E2200026,19
홍천아산병원,033-430-5119,A2200014,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,10,19,1,20200528193501,Y,0,2,Y,A2200014,20
화천군보건의료원,033-440-2880,E2200025,0,0,0,0,0,0,0,0,0,0,0,0,Y,N,0,0,N1,8,0,0,20200528193535,N1,0,0,Y,E2200025,21
횡성대성병원,033-345-1191,A2200016,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,10,30,0,20200528193642,Y,0,0,Y,A2200016,22
의료법인명지의료재단명지병원,031-810-7119,A2100042,0,Y,Y,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,10,108,6,20200528193501,Y,3,8,Y,A2100042,23
동국대학교일산불교병원,031-961-7777,A2100047,0,Y,Y,0,0,5,0,Y,0,Y,0,0,Y,N,0,0,Y,13,159,0,20200528193129,Y,13,10,Y,A2100047,24
국민건강보험공단일산병원,1577-0013,A2100033,0,Y,Y,0,0,10,0,Y,0,Y,0,0,Y,N,0,0,Y,1,341,0,20200528193503,Y,4,2,Y,A2100033,25
국립암센터,031-920-0119,A2100049,0,0,N,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,17,26,14,20200528193600,Y,0,13,Y,A2100049,26
인제대학교일산백병원,031-910-7119,A2100038,0,Y,Y,0,3,4,0,Y,0,Y,0,0,Y,N,0,0,Y,17,134,0,20200528193318,Y,-1,13,Y,A2100038,27
광명성애병원,02-2680-7115,A2100007,0,Y,Y,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,8,62,4,20200528193418,Y,0,5,Y,A2100007,28
참조은병원,031-881-9119,A2100155,0,0,0,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,17,46,4,20200528193603,Y,0,5,Y,A2100155,29
한양대학교구리병원,,A2100039,0,Y,Y,0,3,4,0,Y,0,Y,0,0,Y,N,0,0,Y,8,111,0,20200528193501,Y,7,9,Y,A2100039,30
효산의료재단지샘병원,031-389-3119,A2100054,0,0,0,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,10,81,2,20200528193306,Y,0,5,Y,A2100054,31
원광대학교산본병원,031-390-2345,A2100048,0,0,0,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,18,95,6,20200528193612,Y,0,5,Y,A2100048,32
의료법인우리의료재단김포우리병원,031-999-1119,A2100053,0,0,0,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,12,65,7,20200528193617,Y,0,6,Y,A2100053,33
의료법인인봉의료재단뉴고려병원,031-980-9119,A2100006,0,0,0,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,16,70,0,20200528193452,Y,0,5,Y,A2100006,34
남양주한양병원,031-510-0119,A2100041,0,0,0,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,17,99,11,20200528193323,Y,0,5,Y,A2100041,35
남양주나눔병원,031-570-1118,A2100044,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,9,28,0,20200528193603,Y,0,5,Y,A2100044,36
현대병원,031-574-0114,A2100037,0,0,0,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,7,30,1,20200528193419,Y,0,7,Y,A2100037,37
가톨릭대학교부천성모병원,032-340-2100,A2100052,0,Y,Y,0,3,2,0,Y,1,Y,0,0,Y,N,0,0,Y,9,112,0,20200528193610,Y,6,9,Y,A2100052,38
순천향대학교부속부천병원,032-621-5117,A2100005,0,Y,Y,0,3,1,0,Y,0,Y,0,0,Y,N,0,0,Y,8,107,0,20200528193522,Y,10,17,Y,A2100005,39
의료법인대인의료재단다니엘종합병원,032-670-0119,A2100050,0,0,0,0,2,2,0,Y,0,0,0,0,Y,N,0,0,Y,11,55,0,20200528193503,Y,0,5,Y,A2100050,40
의료법인혜원의료재단세종병원,032-340-1119,A2100055,0,Y,Y,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,19,93,5,20200528193608,Y,0,6,Y,A2100055,41
분당서울대학교병원,031-787-3119,A2100001,0,0,Y,0,1,4,0,Y,0,Y,0,0,Y,N,0,0,Y,-25,108,0,20200528193300,Y,0,37,Y,A2100001,42
국군수도병원,031-725-6119,A2100258,0,0,0,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,11,197,21,20200528193014,Y,0,9,Y,A2100258,43
대진의료재단분당제생병원,031-779-0119,A2100025,0,Y,Y,0,2,10,0,Y,0,Y,0,0,Y,N,0,0,Y,15,259,0,20200528193426,Y,3,9,Y,A2100025,44
차의과학대학교분당차병원,031-780-5840,A2100030,0,Y,Y,0,0,1,0,Y,1,Y,0,0,Y,N,0,0,Y,3,94,0,20200528192112,Y,6,20,Y,A2100030,45
순천의료재단정병원,031-750-6003,A2100016,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,12,84,2,20200528192620,Y,0,5,Y,A2100016,46
성남중앙병원,031-799-5366,A2100011,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,8,108,2,20200528193328,Y,0,4,Y,A2100011,47
아주대학교병원,031-219-7700,A2100002,0,Y,Y,0,4,2,0,Y,1,Y,0,15,Y,N,0,3,Y,8,109,0,20200528193457,Y,5,25,Y,A2100002,48
경기도의료원수원병원,,A2100032,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,15,96,9,20200528193502,Y,0,3,Y,A2100032,49
의료법인녹산의료재단동수원병원,031-210-0119,A2100009,0,0,Y,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,15,104,5,20200528193322,Y,0,5,Y,A2100009,50
가톨릭대학교성빈센트병원,031-249-7364,A2100012,0,Y,Y,0,3,0,0,Y,1,Y,0,0,Y,N,0,1,Y,6,186,0,20200528193610,Y,9,18,Y,A2100012,51
의료법인석경의료재단센트럴병원,031-8041-3019,A2100027,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,20,41,6,20200528193334,Y,0,3,Y,A2100027,52
의료법인녹향의료재단신천연합병원,031-310-6662,A2100013,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,7,59,1,20200528193824,Y,0,3,Y,A2100013,53
의료법인남촌의료재단시흥시화병원,031-8041-5819,A2100008,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,6,22,8,20200528193635,Y,0,3,Y,A2100008,54
대아의료재단한도병원,031-8040-1129,A2100017,0,0,0,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,17,83,5,20200528192529,Y,0,4,Y,A2100017,55
단원병원,031-8040-5911,A2100021,0,0,0,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,13,9,3,20200528193426,Y,0,3,Y,A2100021,56
고려대학교의과대학부속안산병원,031-412-5381,A2100003,0,Y,Y,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,11,113,4,20200528193600,Y,6,0,Y,A2100003,57
근로복지공단안산병원,031-500-1119,A2100014,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,7,113,9,20200528193400,Y,0,3,Y,A2100014,58
경기도의료원안성병원,,A2100045,0,0,0,0,0,0,0,0,0,0,0,0,Y,N,0,0,N1,14,184,13,20200528193502,N1,0,5,Y,A2100045,59
안성성모병원,031-675-8275,A2100305,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,7,64,0,20200528193532,Y,0,3,Y,A2100305,60
한림대학교성심병원,031-380-4130,A2100004,0,Y,Y,0,4,0,0,Y,0,Y,0,0,Y,N,0,3,Y,14,91,0,20200528193358,Y,8,18,Y,A2100004,61
효산의료재단안양샘병원,031-467-9119,A2100015,0,0,0,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,14,45,0,20200528193544,Y,0,6,Y,A2100015,62
양주예쓰병원,031-839-1119,A2100134,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,10,80,0,20200528193300,Y,0,2,Y,A2100134,63
양평병원,031-770-5129,A2100089,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,7,52,0,20200528193001,Y,0,3,Y,A2100089,64
세종여주병원,031-880-7754,A2100194,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,6,69,0,20200528193451,N,0,2,Y,A2100194,65
연천군보건의료원,031-839-4119,E2100187,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,10,50,0,20200528193444,N1,0,2,Y,E2100187,66
오산한국병원,031-378-5119,A2100024,0,Y,0,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,14,141,6,20200528193058,Y,0,5,Y,A2100024,67
조은오산병원,031-373-8119,A2114449,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,10,120,0,20200528193518,Y,0,4,N1,A2114449,68
